@relation 2017

@attribute Num numeric
@attribute Country {Hungary,Poland,'Czech Republic',Slovakia}
@attribute X1 string
@attribute X2 string
@attribute X3 string
@attribute X4 string
@attribute X5 string
@attribute X6 string
@attribute X7 string
@attribute X8 string
@attribute X9 string
@attribute X10 string
@attribute X11 string
@attribute X12 string
@attribute X13 string
@attribute X14 string
@attribute X15 string
@attribute X16 string
@attribute X17 string
@attribute X18 string
@attribute X19 string
@attribute X20 string
@attribute X21 string
@attribute X22 string
@attribute X23 string
@attribute X24 string
@attribute X25 string
@attribute X26 string
@attribute X27 string
@attribute X28 string
@attribute X29 string
@attribute X30 string
@attribute X31 string
@attribute X32 string
@attribute X33 string
@attribute X34 string
@attribute X35 string
@attribute X36 string
@attribute X37 string
@attribute X38 string
@attribute X39 string
@attribute X40 string
@attribute X41 string
@attribute X42 string
@attribute X43 string
@attribute X44 string
@attribute X45 string
@attribute X46 string
@attribute X47 string
@attribute X48 string
@attribute X49 string
@attribute X50 string
@attribute X51 string
@attribute X52 {m,0,-0.51,0.48,-0.32,0.09,-0.83,-0.48,-1,0.65,1.4,1.06,-1.21,-13.3,0.52,4.84,-0.53,1.18,2.71,0.44,-0.11,0.68,0.59,2.03,-0.23,1.59,-0.16,-0.5,-1.09,-2.24,0.53,-2.29,-0.4,0.12,-0.05,-0.3,0.82,-3644,-2.2,0.93,5.22,8.47,1.14,3.81,-0.52,1.43,-3.51,1.82,3.21,-3.07,0.36,-1.7,-1.45,-4.19,0.29,-0.17,-0.09,0.77,-1.75,4.06,0.97,-1.16,1.13,1.25,0.85,3.38,-2.52,-1.35,0.34,-0.9,-1.26,-0.47,-0.7,2.1,0.06,1.89,2.89,2.74,-44.01,-1.13,-3.44,0.96,8.97,-1.12,20.62,-3.66,0.4,-0.2,0.05,16.51,-0.91,0.67,-0.95,-4,-2.16,0.84,-1.07,-4.49,-8.8,-0.18,1.42,6.75,-1.87,-5.82,-0.69,-0.57,0.49,0.3,1.84,1.01,0.57,0.11,-0.87,-0.22,0.35,0.69,-13.94,3.11,2.16,-0.03,-2.25,-0.88,0.26,-0.75,0.32,-0.44,-3.53,-0.79,0.01,0.5,-1.72,1.79,-0.6,-21.44,0.63,0.38,-15.4,-3.4,-0.54,13.95,-0.14,-1.01,1.04,0.61,2.58,3.5,52.32,-4.36,37.53,-15.58,-1.04,0.25,-2.83,-1.23,-1.24,55.29,-0.04,-23.29,0.81,6.61,-2.67,-0.29,-1.42,-1.63,-0.46,-1.29,-2.02,-88.08,0.03,-26.19,-2.37,0.13,0.62,4.19,1.21,0.02,-0.28,-0.93,-0.72,-0.06,0.07,0.33,-0.25,-2.51,-0.71,-0.76,-0.62,2.5}
@attribute X53 {m,0,0.16,0.57,0.26,-0.21,0.54,1.04,0.76,-0.5,-1.2,0.18,1.48,0.4,-0.13,1.54,-0.76,1.21,-0.72,1.07,1,-0.32,0.87,0.17,0.5,-0.12,-0.22,-0.35,0.64,-0.2,-0.3,0.9,-2.51,0.25,0.47,1.83,4.3,0.09,1.14,-1.87,2.08,1.64,1.12,-1.22,0.45,-1.51,0.1,0.56,1.47,0.49,1.29,3.35,2.39,0.31,-0.51,0.73,-0.57,0.62,-0.42,0.59,0.72,2.44,-31.68,-0.68,0.83,-20.5,0.37,7.32,-0.14,0.24,-0.41,5.59,0.07,0.91,0.96,1.15,-0.96,0.53,-2.76,0.21,-5.95,-1.21,-0.74,2.72,1.99,0.97,-5,-0.25,0.29,-1.4,0.89,1.62,0.43,0.19,-3.64,1.67,2.6,-0.08,0.04,-0.19,0.2,0.33,0.82,0.12,0.06,0.85,2.1,2.62,0.74,2.14,-1.66,-0.31,0.7,0.67,-36.88,-5.1,9.66,-0.17,-21.83,0.22,0.02,-1.99,-0.54,-0.38,56.55,0.15,10.25,0.11,-0.01,-0.16,-3.38,-0.07,0.84,0.03,1.23,1.51,0.71,-0.05,0.01,-0.9}
@attribute X54 string
@attribute X55 string
@attribute X56 string
@attribute X57 string
@attribute X58 string
@attribute X59 {m,0,1.31,-164.3,22.21,-31.04,5.95,-33.92,-1.3,0.98,6.87,5.93,32.82,-1.4,0.99,0.25,-1.14,12.03,4.87,-0.53,5.57,1.92,23.59,946.53,-3.95,-5.8,-1.78,-0.85,1.15,1.7,-342.5,-0.89,-3.62,-1.33,0.33,-3.91,1.9,-4.61,10.93,-19.92,352.17,-4465.59,-0.95,9.91,4.36,1.51,-0.46,7.04,0.79,6.36,-1.69,-5.78,1.79,1.72,0.43,-0.56,0.56,-38.38,2.27,-0.42,-37.25,-1.93,47.93,0.48,16.99,3.34,12.47,-1.54,-0.7,0.9,16.15,1.07,974.98,3.24,4.21,3.48,-15.74,-0.93,-13.27,3.01,-16.35,-22,1.27,19.82,0.73,3.74,-0.1,1.5,-3.74,2.24,-0.07,-5.47,0.44,-0.12,-48.32,3.88,-0.11,16.57,1.36,1.04,-0.18,-3.58,-5.85,-33.32,-12.27,0.14,-2.35,-10.89,3.35,4.34,-65.11,4.51,1.52,-19.87,0.59,2.94,0.28,41.77,7.52,1.74,0.32,-1.51,-28.08,114.73,0.41,2.2,0.88,-1.91,-3.04,-0.15,6.32,0.84,9.78,-1.66,133.62,-11.13,1.61,9.89,72.63,27.67,-4.64,1.02,-5.06,-1.76,-1.88,3.14,-24.33,24.72,0.74,0.04,2.8,-2.22,-0.27,-6.93,11.85,-0.2,1.17,362.33,-5.4,2.82,1.99,-0.54,4.65,-0.22,-2.71,4.59,0.06,1.24,0.07,-10.68,469.29,0.09,3.66,-318.5,0.01,2.5,3.46,-12.94,0.1,-0.73,16.53,1.68,-2.78,-1.59,4.94,-9.2,-2.2,1.16,803.01,0.02,1.28,-1,23.48,-0.09,1.64,1.91,-2.21,-9.06,19.4,0.54,-1.34,-629.98,4.09,16.79,-3.03,26.48,18.17,-8.21,8.73,10.65,-23.46,296.43}
@attribute X60 string
@attribute X61 string
@attribute X62 {m,0,0.02,-0.17,0.05,0.01,0.04,-0.01,0.06}
@attribute X63 {m,0.03,0.04,0.01,0,0.02,0.13,0.11,0.27,0.1,0.54,0.44,0.06,0.07,0.17,0.05,0.14,0.49,0.08,0.55,1}
@attribute X64 {m,0.01,0.02,0,1.05,0.19,-134.8,0.03,22.84,0.2,0.06,0.04,0.43,0.16,0.9,0.77,1.89,0.29,0.07,0.1,-0.05,0.05,5.93,0.25,2.64,-0.01,0.32,0.56,-0.02,-0.04,-0.03,0.36,161.18,0.15}
@attribute X65 {m,0,0.05,0.03,0.04,0.06,0.02,0.09,0.19,0.01,0.07,0.12,0.08,0.33,0.17,0.14}
@attribute X66 string
@attribute X67 string
@attribute X68 string
@attribute X69 string
@attribute X70 string
@attribute X71 string
@attribute X72 string
@attribute X73 string
@attribute X74 string
@attribute X75 string
@attribute X76 string
@attribute X77 {m,4.11,6.07,-0.03,0,5.95,2.39,3.87,2.92,0.62,8.31,0.48,2.51,2.79,5.35,4.32,7.86,3.86,2.02,3.59,3.41,7.44,1.26,5.99,0.41,6.65,15.85,12.24,12.48,1.28,5.04,4.45,-3.62,3.01,0.08,-0.65,3.46,5.01,-6.1,2.58,2.77,2.38,1.59,8.22,8.44,-0.97,4.16,10.45,7.31,2.23,2.37,3.73,3.08,-22.22,0.59,0.22,1.79,69.44,50.82,-6.76,2.98,-3.01,3.4,3.38,4.38,3.95,4.51,1.13,3.7,4.52,10.08,2.14,-4.67,2.25,5.5,6.03,7.23,15.41,-7.58,4.49,-2.87,-1.72,3.96,23.97,5.44,5.12,0.73,10.38,2.99,5,3.63,3.13,3.67,5.05,3.11,0.43,0.79,3.05,2.13,22.92,1.04,12.44,3.5,3.93,3.3,5.2,1.06,4.85,3.84,10.07,-379.18,2.01,4.5,-2.85,10.51,-1820.8,-5.61,4.67,3.75,5.56,-6.78,4.87,3.69,4.68,5.19,4.76,11.19,-7.26,1.88,7.65,3.45,-1.09,-3.63,-12.26,1309.64,7.89,6.2,18.06,2.96,1.61,1.07,4.8,-1.19,5.3,4.1,-75.61,4.48,3.19,4.17,1.84,40.03,2.36,1.25,25.54,2.87,3.81,8.35,0.86,47.13,2.56,2.35,4.29,10.29,-2.29,-2.77,-10.35,1.46,1.74,1.96,0.94,1.9,1.39,-1.52,-20.27,0.32,1.45,1.97,7.18,6.36,5.17,-0.23,3.98,3.68,2.26,4.93,1.34,1.83,3.1,3.24,20.12,9.6,8.88,3.36,1.98,2.6,-0.1,6.35,4.28,-4.83,14.4,1.35,4.02,2.91,0.53,5.25,1.67,-0.33,4.69,0.15,-2.15,2.46,4,4.64,-418.49,-11.41,0.5,10.76,4.7,8.13,3.97,4.03,2.11,3.99,4.04,13.96,2.74,4.06,1.17,-11.38,38.4,7.72,2.82,-0.93,2.67,4.24,5.03,4.58,1.27,8.32,3.17,2.7,72.43,0.77,-0.29,-12.65,-1475.7,-7.92,0.02,0.12,-1.15,-4.89,-0.63,4.99,3.78,3.85,264.65,7.9,2.57,1.16,-12.48,4.3,3.62,3.51,-0.74,4.44,4.27,3.47,17.72,41.56,-4.51,7.95,108.36,4.25,123.76,-1.46,1.4,6.34,-15.62,-4.88,21.1,2.73,0.17,1.18,-53.91,-0.16,24.73,-4.24,-8,2.3,-3.23,0.42,14.02,1.51,4.37,-2.2,47.42,2.61,28.3,4.15,6.8,7.07}
@attribute X78 string
@attribute X79 string
@attribute X80 string
@attribute X81 {m,0,1}
@attribute X82 {m,1,0}
@attribute S numeric

@data
12,Poland,0.03,0.65,0.36,1.71,0.09,0.07,0.55,4.14,0.35,0.05,0.13,0.02,0.01,0.11,1.55,0.08,0.02,0.05,0.01,0.26,0.06,4.25,2.49,5.7,0.15,0.14,8.19,6.34,0.17,4.14,2.92,0.5,0.04,0.09,0.01,0.08,0.85,0.06,0.01,1.33,0.5,2.47,3.49,180339,0.1,0.41,9.61,10.85,8.28,28.86,-0.02,-1,-0.21,-0.03,-0.01,-0.05,-0.23,-0.07,-1.3,-0.04,-0.67,0,0.13,0.01,0,872.24,4637.32,5334.52,6079.29,309.23,2156.27,1,1,1,1,1,2.51,1,1,1,1,1,2
19,Poland,0.08,0.65,0.38,2.4,0.13,0.13,0.53,1.15,0.35,0.11,0.47,0.11,0.11,0.2,1.53,0.17,0.11,0.11,0.07,0.21,0.13,6.05,1.12,5.99,0.44,0.32,3.77,1.58,0,1.14,0.62,0.73,0,0.58,0.1,0.2,0.86,0.14,0.12,1.01,0.27,1.01,2.12,371125.73,0.24,1.09,2.73,14.85,4.18,3.35,-0.04,m,m,0,0,0,0,0,0,0,0,0,0.03,0.19,0,8419.9,22494.85,21472.35,26393.21,2919.07,8523.5,1,1,1,1,1,2.79,1,1,1,m,1,2
21,Poland,0.03,0.67,0.23,1.37,0.03,0.06,0.48,4.48,0.33,0.05,0.09,0.01,0.01,0.09,1.48,0.07,0.01,0.05,0.01,0.29,0.05,5.49,1.79,5.25,0.14,0.15,6.97,6.58,0,4.49,13.13,0.36,0,0.15,0.01,0.09,0.77,0.06,0.01,1.29,0.64,2.5,2.79,41400.92,0.1,0.12,11.87,11.26,7.03,34.39,-0.03,m,m,0,0,0,0,0,0,0,0,0,0.11,0.01,0.05,866.78,4757.75,4936.88,5654.86,282.26,2168.55,1,1,1,1,1,5.35,1,1,1,m,1,2
29,'Czech Republic',-0.45,0.43,0.3,1.73,0.24,-0.4,1.34,0.71,0.57,-0.4,-0.98,-0.57,-0.36,-0.95,2.34,-0.95,-0.57,-0.4,-0.64,0.33,-1.06,627.45,1.07,5.86,-0.06,-0.7,2.73,2.65,0.36,0.72,51.28,0.59,0.5,1.5,-0.57,-11.21,1.63,0,0,1.68,0.41,2.02,2.07,221267,-0.79,0.02,17.63,13.3,1.73,2.52,0.23,m,m,0,0,0,0,0,m,0,0,-0.17,0.27,-134.8,0.05,3551.55,-5034.55,m,-5042.58,2036.6,7176.29,1,1,1,1,1,m,1,1,1,m,m,2
30,Poland,0.08,0.53,0.08,1.32,0.3,0.14,0.89,0.71,0.47,0.12,0.58,0.19,0.18,0.26,1.89,0.22,0.19,0.12,0.11,0.17,0.15,6.78,0.11,6.13,0.6,0.25,2.63,1.16,0,0.73,0.78,0.77,0,0.52,0.16,1,0.99,0.17,0.23,0.59,0.23,0.68,1.11,100239.57,0.17,0.63,9.05,6.47,3.03,1.03,-0.01,m,m,0,0,0,0,0,0,0,0,0,0.02,0.03,0.05,1387.33,4773.45,3947.88,5586.46,652.7,945.67,1,1,1,1,1,4.32,1,1,1,m,1,2
43,Poland,0.05,0.75,0.24,1.73,-0.18,0.17,0.34,1.73,0.25,0.12,0.5,0.12,0.06,0.28,1.34,0.13,0.1,0.1,0.03,0.44,0.12,1.86,0.58,5.44,0.37,0.38,4.89,2.21,0.21,1.74,0.71,0.66,0.12,0.32,0.06,0.17,0.86,0.14,0.08,0.78,0.34,0.61,1.58,66689,0.19,1.61,5.94,9.59,5.15,4.14,-0.03,0.65,0.54,0.07,0.04,0.1,0.18,0.22,0.98,0.13,0.77,0,0.01,0,0,432.38,649.67,807.49,1143.88,109.99,262.42,1,1,1,1,1,7.86,1,1,1,1,1,2
45,Poland,0.06,0.5,0.47,2.16,0.07,0.12,1.02,1.67,0.5,0.1,0.31,0.07,0.06,0.25,2.02,0.2,0.07,0.1,0.04,0.43,0.13,4.56,4.06,5.16,0.28,0.2,3.84,3.16,0,1.67,1.79,0.59,0,0.08,0.06,0.09,0.39,0.11,0.07,1.78,0.41,4.31,5.06,68935.74,0.13,0.17,2.3,13.45,4.09,14.29,-0.16,m,m,0,0,0,0,0,0,0,0,0,0,0,0,1735.04,7014.16,7736.34,8675.02,874.08,7482.04,1,1,1,1,1,3.86,1,1,1,m,1,2
63,Poland,-0.01,0.54,0.22,1.47,-0.07,-0.01,0.88,1.81,0.47,-0.01,-0.02,-0.01,0,-0.02,1.86,-0.01,-0.01,-0.01,-0.01,0.54,-0.02,2.53,0.74,5.02,0.28,-0.02,3.84,3.38,0,1.81,6.75,0.54,0,0.08,0,-0.04,0.91,0.02,0.01,1.3,0.47,1.57,1.78,23472.26,-0.02,0.13,6.75,4.65,3.82,5.98,-0.02,m,m,0,0,0,0,0,0,0,0,0,0.01,0,0,830.77,-36731.85,21615.8,-49446.73,394.47,1303.14,1,1,1,1,1,2.02,1,1,1,m,1,2
68,Poland,0.06,0.22,0.13,1.7,0.29,0.08,3.61,0.57,0.78,0.07,0.42,0.21,0.13,0.54,4.61,0.3,0.14,0.07,0.1,0.49,0.44,13.64,0.19,5.42,0.16,0.08,2.75,2.34,0.14,0.57,8.94,0.82,0.25,0.75,0.12,2.04,1.55,0.11,0.19,1.45,0.18,1.14,1.19,33946,0.07,0.04,21.22,3.88,3.1,0.83,0.22,1.4,1.04,0.04,0.07,0.18,1.23,0.21,6.87,0.13,0.59,0,0,0,0.03,936.81,9488.54,6868.41,11103.44,733.8,1068.68,1,1,1,1,1,3.59,1,1,1,1,1,2
79,Poland,0.04,0.51,0.18,1.62,0.03,0.08,0.98,0.75,0.49,0.07,0.29,0.15,0.08,0.22,1.98,0.12,0.11,0.06,0.05,0.47,0.12,3.33,0.33,5.4,0.61,0.12,2.46,1.4,0.25,0.77,0.96,0.71,0.34,0.16,0.08,0.14,0.72,0.09,0.12,0.92,0.29,0.93,1.33,44408,0.07,0.44,2.92,4.6,2.61,1.41,-0.12,1.06,0.76,0.03,0.05,0.07,0.16,0.12,5.93,0.07,0.57,0,0.01,0,0.03,722.3,4239.08,4116.57,5880.77,357.47,669.6,1,1,1,1,1,3.41,1,1,1,1,1,2
87,Poland,0.04,0.72,0.09,1.15,0.04,0.06,0.39,1.63,0.28,0.06,0.11,0.05,0.04,0.11,1.39,0.08,0.04,0.06,0.02,0.24,0.08,9.3,0.27,4.71,0.44,0.2,2.67,2.2,1.63,1.64,2.98,0.41,1,0.02,0.03,0.13,0.64,0.07,0.04,0.94,0.59,0.88,1.27,4437,0.14,0.45,5.41,4.48,2.76,5.09,-0.14,-1.21,-0.5,-0.03,-0.02,-0.05,-0.27,-0.06,32.82,-0.05,-0.6,0,0.01,0,0.03,1610.19,7134.22,6169.2,7991.52,452.39,1410.49,1,1,1,1,1,7.44,1,1,1,1,1,2
90,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
95,Poland,0.14,0.34,0.56,2.71,0.63,0.18,1.98,1.21,0.66,0.18,0.54,0.16,0.17,0.57,2.98,0.53,0.15,0.18,0.12,0.03,0.46,109.02,5.37,4.88,0.25,0.27,3.15,3.1,0.43,1.22,51.65,0.67,0.36,0.1,0.15,0.23,0.84,0.19,0.16,2.66,0.33,6.32,6.37,42805,0.21,0.01,1.97,4.97,3.67,11.55,-0.05,-13.3,-1.2,-0.01,-0.01,-0.03,-1.97,-0.03,-1.4,-0.01,-0.06,0,0,0,0,4821.47,17874.37,16848.85,18058.73,3202.3,30486.58,1,1,1,1,1,3.86,1,1,1,1,1,2
97,Poland,0.03,0.46,0.15,1.45,0.26,0.15,1.19,0.92,0.54,0.13,0.46,0.18,0.14,0.36,2.19,0.26,0.17,0.12,0.03,0.28,0.08,4.71,0.29,5.02,0.44,0.22,2.41,1.76,0.92,0.93,1.58,0.67,1,0.16,0.13,0.1,0.58,0.13,0.14,1.06,0.33,1.06,1.29,15908,0.05,0.23,3.15,6.49,2.75,1.79,-0.18,0.52,0.18,0.05,0.06,0.12,0.44,0.16,0.99,0.11,0.45,0,0,0,0,1782.44,6309.4,7430.65,8034.81,967.99,1882.46,1,1,1,1,1,1.26,1,1,1,1,1,2
102,Hungary,0.04,0.62,0.04,1.07,0,0.04,0.62,1.22,0.38,0.05,0.07,0.03,0.04,0.06,1.62,0.07,0.03,0.05,0.03,0.38,0.06,-5.72,0.08,4.92,0.47,0.12,2.22,1.91,0,1.22,3.04,0.47,0,0.14,0.04,0.12,0.49,0.07,0.06,0.92,0.53,0.89,1.08,3001,0.1,0.22,3.97,6.66,2.3,2.82,-0.23,m,m,0,0,0,0,0,m,0,0,0,0.01,0,0.04,1012.24,9787.75,5747.82,8565.73,388.55,898.08,1,1,1,1,1,m,1,1,1,m,m,2
109,Poland,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,2
110,Poland,0.08,0.49,0.34,1.9,0.1,0.21,1.03,1.36,0.51,0.15,0.53,0.17,0.12,0.47,2.03,0.31,0.15,0.15,0.06,0.41,0.21,2.81,1.26,4.65,0.27,0.3,3.19,2.49,1.36,1.38,2.62,0.62,1,0.35,0.11,0.18,0.74,0.17,0.13,1.48,0.38,1.86,2.26,15361,0.16,0.21,3.09,9,3.55,4.99,-0.09,4.84,1.48,0.02,0.01,0.03,0.15,0.04,0.25,0.02,0.11,0,0.01,0,0.05,1892.31,4685.86,5495.69,6385.06,960.92,3518.07,1,1,1,1,1,5.99,1,1,1,1,1,2
117,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
132,Poland,0,0.52,0.41,2.84,0.04,0.03,0.92,1.37,0.48,0.02,0.14,0.04,0.01,0.1,1.92,0.04,0.02,0.02,0,0.44,0.05,1.56,1.15,4.57,0.37,0.04,6.12,2.64,0.2,1.4,0.91,0.78,0.15,0.08,0.01,0.01,1.2,0.04,0.03,1.23,0.22,1.33,2.15,15203,0.01,0.62,3.72,5.43,6.1,3.8,0.03,0.09,0.4,0.05,0.04,0.1,0.17,0.23,-1.14,0.08,2.74,0,0.01,0,0.06,450.37,6955.14,5538.09,11533.83,215.58,596.75,1,1,1,1,1,0.41,1,1,1,1,1,2
147,Poland,0.02,0.39,0.16,1.46,0.21,0.04,1.57,1.19,0.61,0.05,0.12,0.04,0.04,0.12,2.57,0.12,0.04,0.05,0.02,0.4,0.08,-10.48,0.32,4.62,0.29,0.08,3.29,2.95,1.19,1.19,12.67,0.65,1,0.14,0.04,m,1.46,0.05,0.04,1.31,0.35,1.24,1.32,6728,0.04,0.07,m,2.58,3.41,2.42,0.14,-0.53,-0.13,-0.05,-0.04,-0.12,-1.14,-0.13,12.03,-0.09,-0.99,0,0,0,0.02,2545.41,36348.24,29914.5,33615.94,1556.35,3164.24,1,1,1,1,1,6.65,m,1,1,1,1,2
154,Poland,0.03,0.66,-0.04,0.92,-0.22,0.06,0.54,1.69,0.36,0.04,0.11,0.03,0.02,0.08,1.52,0.04,0.03,0.03,0.02,0.58,0.05,2.58,-0.07,4.47,0.38,0.08,3.3,2.55,1.69,1.7,1.91,0.51,1,0.56,0.02,0.19,0.56,0.07,0.04,0.71,0.51,0.67,0.95,-1170,0.1,0.42,9.27,m,3.33,3.17,-0.13,1.18,0,0.03,0.02,0.04,0.19,0.06,4.87,0.06,1.05,0,0.02,0,0,643.57,4161.68,3228.8,8309.97,230.23,432.62,1,1,1,1,1,2.51,1,m,1,1,1,2
169,Poland,0.07,0.45,0.21,1.78,0.07,0.09,1.23,1.41,0.55,0.09,0.35,0.09,0.06,0.3,2.23,0.19,0.07,0.08,0.05,0.48,0.24,18.78,0.42,4.54,0.24,0.15,4.89,2.98,0.26,1.42,2.33,0.73,0.18,0.39,0.06,0.87,1.49,0.12,0.09,1.09,0.27,1.08,1.42,7423,0.12,0.32,17.77,4.68,5.17,2.76,0.1,2.71,1.54,0.03,0.02,0.06,0.15,0.09,-0.53,0.05,0.31,0,0.01,0,0.03,919.53,5374.41,4147.41,6098.84,507.15,989.91,1,1,1,1,1,15.85,1,1,1,1,1,2
176,Poland,0.08,0.46,0.26,1.65,0.07,0.1,1.15,1.79,0.53,0.11,0.24,0.05,0.02,0.21,2.17,0.09,0.05,0.04,0.04,0.47,0.16,-2.53,0.75,4.37,0.22,0.08,4.49,3.84,0,1.82,3.24,0.6,0,0.32,0.02,0.17,0.55,0.08,0.04,1.41,0.39,1.54,1.73,5992.3,0.14,0.13,4.09,19.51,4.53,5.16,-0.1,m,m,0,0,0,0,0,0,0,0,0,0.02,0.01,0,1329.45,7388.8,9158.7,16469.15,707.31,2040.91,1,1,1,1,1,12.24,1,1,1,m,1,2
191,Poland,-0.21,0.85,0.55,1.66,-0.22,-0.18,0.18,2.04,0.15,-0.19,-0.22,-0.09,-0.08,-0.21,1.18,-0.23,-0.09,-0.19,-0.1,0.38,-0.24,-21.2,1.75,4.7,0.4,-1.26,2.72,2.65,0,2.06,38.66,0.17,0,0.86,-0.09,-0.35,0.96,-0.16,-0.08,1.62,0.83,0.49,0.55,27306.75,-1.35,0.13,3.49,26.48,2.46,6.52,-0.02,m,m,0,0,0,0,0,0,0,0,0,0,0,0,1950.05,-1641.57,-1889.71,-1550.8,296.35,947.7,1,1,1,1,1,12.48,1,1,1,m,1,2
195,Poland,0.02,0.68,0.12,1.21,0.02,0.04,0.47,1.29,0.32,0.03,0.08,0.06,0.02,0.11,1.47,0.05,0.03,0.03,0.02,0.3,0.08,4.19,0.36,4.31,0.52,0.1,2.26,1.86,1.29,1.29,2.98,0.44,1,0.04,0.02,0.07,0.64,0.07,0.05,0.99,0.56,0.99,1.36,2384,0.07,0.37,4.08,3.87,2.31,3.96,-0.16,-0.48,-0.76,-0.05,-0.04,-0.07,-0.38,-0.08,5.57,-0.07,-1.47,0,0,0,0,1029.31,7816.69,4989.74,10548.72,330.69,1015.35,1,1,1,1,1,1.28,1,1,1,1,1,2
197,Poland,0.06,0.56,0.14,1.3,0.06,0.1,0.8,2.37,0.44,0.09,0.21,0.04,0.04,0.18,1.8,0.17,0.04,0.09,0.03,0.38,0.12,9.37,0.39,4.09,0.21,0.21,4.82,4.17,0,2.41,3.04,0.52,0,0.2,0.04,0.16,0.47,0.13,0.06,1.12,0.48,1.19,1.4,1759.3,0.15,0.17,5.96,18.36,4.93,6.39,-0.11,m,m,0,0,0,0,0,0,0,0,0,0,0,0.04,733.31,3191.37,2489.37,3439.34,325.35,875.88,1,1,1,1,1,5.04,1,1,1,m,1,2
200,Poland,0.01,0.46,0.09,1.26,0.03,0.02,1.17,3.8,0.54,0.03,0.06,0.02,0.01,0.13,2.17,0.05,0.01,0.02,0,0.51,0.12,-3.08,0.16,3.76,0.1,0.04,11.03,8.23,3.8,3.82,2.51,0.66,1,0.35,0.01,0.11,0.85,0.06,0.02,0.94,0.34,0.95,1.16,507,0.03,0.22,27.35,21.72,11.03,6.69,-0.01,0.44,1.21,0.03,0.01,0.07,0.29,0.1,1.92,0.08,1.48,0,0.01,0,0.02,445.35,12138.97,3696.51,10356.24,239.88,422.85,1,1,1,1,1,4.45,1,1,1,1,1,2
207,Poland,0,0.35,0.19,1.7,-0.24,0.02,1.88,1.4,0.65,0.01,0.08,0.03,0.01,0.13,2.88,0.04,0.02,0.01,0,0.9,0.08,1.24,0.36,4.38,0.23,0.02,5.07,3.99,1.4,1.4,3.98,0.73,1,0.11,0.01,0.02,1.07,0.04,0.03,1.34,0.27,1.22,1.36,4585,0.01,0.11,8.1,5.34,5.11,2.62,0.01,-0.11,-0.72,-0.03,-0.02,-0.1,-0.45,-0.12,23.59,-0.07,-2.72,0,0.01,0,0,219.9,6498.85,3961.14,11758.37,143.56,268.63,1,1,1,1,1,-3.62,1,1,1,1,1,2
218,Poland,0.03,0.59,-0.1,0.48,0.19,0.04,0.7,0.36,0.41,0.05,0.21,0.26,0.16,0.16,1.7,0.09,0.12,0.05,0.09,0.22,0.15,-4.85,-0.12,4.75,1.63,0.12,1.63,0.55,0.36,0.38,0.2,0.8,1,0.04,0.14,2.05,0.39,0.1,0.29,0.16,0.2,0.45,0.88,-5820,0.08,0.95,21.73,5.08,1.81,0.4,-0.43,0.68,1.07,0.05,0.14,0.08,0.13,0.25,946.53,0.52,0.99,0,0,0,0,1268.16,12539.08,5027.02,10334.5,521.43,574.37,1,1,1,1,1,3.01,1,1,1,1,1,2
233,Slovakia,0.34,0.2,0.76,4.87,0.43,0.44,4.07,0.63,0.8,0.44,2.26,0.7,2.39,2.25,5.07,2.26,0.7,0.45,0.55,0.37,1.75,m,16.95,5.41,0.31,0.55,0.95,0.94,0,0.63,970.35,0.8,0,0,0.71,m,4.87,0.45,0.71,4.84,0.2,17.93,17.95,193525,0.43,0,m,0.66,3.21,14.09,4.06,m,m,0,0,0,0,0,m,0,0,0.05,0.1,22.84,0,3312.5,5993.79,5960.25,5975.68,2659.24,59378.62,1,1,1,1,1,m,m,1,1,m,m,2
238,Poland,0.02,0.72,0.26,1.44,0.02,0.03,0.38,2,0.28,0.05,0.04,0.03,0.02,0.09,1.38,0.06,0.01,0.05,0.01,0.26,0.07,-2.09,1.79,3.75,0.36,0.17,3.35,2.75,2,2.03,1.7,0.41,1,0.03,0.02,0.03,0.37,0.08,0.04,1.18,0.59,1.9,2.79,1459,0.06,0.47,3.16,9.99,3.37,13.79,-0.19,0.44,1,0.04,0.02,0.05,0.28,0.06,-3.95,0.04,0.79,0,0,0,0,987.87,10627.99,3294.68,5918.04,272.23,1874,1,1,1,1,1,0.08,1,1,1,1,1,2
